X (in.)	Y (in.)	Theta (rad.)
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
22.5	-43.0	0.0
