X (in.)	Y (in.)	Theta (rad.)
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
-10.0	51.0	0.0
