X (in.)	Y (in.)	Theta (rad.)
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
-100.0	-100.0	0.0
